Accuracy;Shivs deal additional damage.
Magnetism;At the start of your turn, add %s random Colorless card into your hand.
Malleable;Upon receiving attack damage, gains Block.
Mantra;When you obtain Mantra, enter Divinity.
Master Reality;Whenever a card is created, it is Upgraded.
Mayhem;At the start of your turn, play the top card of your draw pile.
Metallicize;At the end of your turn, gain Block.
Minion;Minions abandon combat without their leader.
Mode Shift;After receiving damage, changes to a defensive mode.
Next Turn Block;Gain Block next turn.
Nightmare;Add cards into your hand next turn.
Nirvana;Whenever you Scry, gain Block.
No Attack;You cannot play Attacks this turn.
No Draw;You cannot draw cards this turn.
No Block;You cannot gain Block from cards.
No Skills;You cannot play Skills this turn.
Noxious Fumes;At the start of your turn, apply Poison to ALL enemies.
Nullify Attack;Fully Blocks one Attack each turn.
Omega;At the end of your turn, deal damage to ALL enemies.
Omniscience;Your next card is played twice.
Painful Stabs;Whenever you receive attack damage from this enemy, add a Wound into your discard pile.
Panache;If you play more card this turn, deal damage to ALL enemies.
Mark;Whenever you play Pressure Points, loses HP.
Pen Nib;Your next Attack deals double damage.
Phantasmal;Deal Double Damage next turn.
Plated Armor;At the end of your turn, gain Block.
Poison;At the start of your turn, lose HP, then reduce Poison by 1.
Prime;Whenever you Channel an Orb, draw card.
Primitive;Whenever you play a Common card, draw card.
Rage;Whenever you play an Attack this turn, gain Block.
Rebound;The next card you play this turn is placed on top of your draw pile.
Regenerate;At the end of its turn, heals HP.
Regen;At the end of your turn, heal HP, then reduce Regen by 1.
Repair;At the end of combat, heal HP.
Retain Cards;At the end of your turn, you may retain card.
Retain Hand;Do not discard your hand at the end of this turn.
Ritual;At the end of its turn, gains Strength.
Rupture;Whenever you lose HP from a card, gain Strength.
Sadistic;Whenever you apply a debuff to an enemy, deal damage.
Serpentine;Immune to Potions.
Shackled;At the end of its turn, gains Strength.
Sharp Hide;Whenever you play an Attack, take damage.
Shifting;Upon losing HP, loses that much Strength until the end of the turn.
Shriek From Beyond;Whenever you play an Attack, discard a random card.
Skill Burn;For turn, whenever you play a Skill, Exhaust it.
Slow;Whenever you play a card, receives 10% more damage from Attacks this turn.
Split;When its HP is at or below 50%, will split into 2 smaller slimes with 's current HP.
Spore Cloud;On death, applies Vulnerable.
Stasis;On death, is returned to your hand.
Static Discharge;Whenever you receive attack damage, Channel Lightning.
Storm;Whenever you play a Power card, Channel Lightning.
Strength;Increases attack damage by this amount.
Strike Up;Cards containing Strike deal additional damage.
Study;At the end of your turn, shuffle Insight into your draw pile.
Surrounded;Receive 50% more damage if attacked from behind.
The Bomb;At the end of %1$s turns, deal %2$s damage to ALL enemies.
Thievery;steals Gold whenever it attacks.
Thorns;When attacked, deals damage back.
Thousand Cuts;Whenever you play a card, deal damage to ALL enemies.
Time Warp;Whenever you play cards, ends your turn and gains Strength.
Time Maze;Whenever you play cards, your turn is ended.
Tools Of The Trade;At the start of your turn, draw card and discard card.
Unawakened;This enemy hasn't awakened yet...
Vault;Receives damage at the start of your next turn.
Venomology;Poison grows stronger by instead of lowering each turn.
Vigor;Your next Attack deals additional damage.
Vulnerable;Receive 50% more damage from Attacks for turn.
Wave of the Hand;Whenever you gain Block, apply Weak to ALL enemies.
Weak;Attacks deal 25% less damage for turn.
Foresight;At the start of your turn, Scry .
Wraith Form;At the end of your turn, lose Dexterity.
Simmering Rage;Enter Wrath at the start of your turn.
